Periodo	PIB
1996.I	189323299148
1996.II	204610728455
1996.III	221513234375
1996.IV	239316345834
1997.I	219117049382
1997.II	232889544198
1997.III	246178481097
1997.IV	253904121411
1998.I	235700701907
1998.II	251935878971
1998.III	258043285626
1998.IV	256671152709
1999.I	250667993916
1999.II	268708930952
1999.III	274125555877
1999.IV	294207975309
2000.I	276926906210
2000.II	292788557984
2000.III	308895799906
2000.IV	320480806840
2001.I	312469819932
2001.II	323723559769
2001.III	332524445736
2001.IV	347037642394
2002.I	342296667234
2002.II	367362824618
2002.III	379794531635
2002.IV	399333231670
2003.I	397241638849
2003.II	418987336936
2003.III	439349781583
2003.IV	462371639057
2004.I	444783488161
2004.II	481794960504
2004.III	505252318394
2004.IV	525920445904
2005.I	499710362622
2005.II	535557417840
2005.III	552859155123
2005.IV	582457567765
2006.I	554270465599
2006.II	581976856263
2006.III	617847705989
2006.IV	655354894185
2007.I	631423005060
2007.II	670654703418
2007.III	691845923784
2007.IV	726339305418
2008.I	712055248893
2008.II	769525159403
2008.III	812602575697
2008.IV	815620104978
2009.I	756127090185
2009.II	803577495159
2009.III	852843249411
2009.IV	920491520735
2010.I	886397388537
2010.II	944145035991
2010.III	997934739925
2010.IV	1057369835783
2011.I	1016530668546
2011.II	1086712250524
2011.III	1112334223427
2011.IV	1160804857229
2012.I	1129474040457
2012.II	1183125546684
2012.III	1230448834381
2012.IV	1271711578478
2013.I	1241614045562
2013.II	1322580364838
2013.III	1354134085197
2013.IV	1413290504171
2014.I	1385979248443
2014.II	1422320203645
2014.III	1462125474024
2014.IV	1508528074352
2015.I	1456666404354
2015.II	1479977026280
2015.III	1508228163674
2015.IV	1550915405560
2016.I	1500268225731
2016.II	1559018818241
2016.III	1577170010017
2016.IV	1632870946172
2017.I	1585806265250
2017.II	1630852506786
2017.III	1648634937342
2017.IV	1720185290919
2018.I	1681578732093
2018.II	1733662946060
2018.III	1767873740941
2018.IV	1821025580739
2019.I	1759312580150
2019.II	1828764175196
2019.III	1880631860588
2019.IV	1920422384600
2020.I	1845561479170
2020.II	1722448359463
2020.III	1888242188203
2020.IV	2011364362539
2021.I	2065954698784
2021.II	2140602847722
2021.III	2215184605247
2021.IV	2257747416248
2022.I	2249225354247
